CMPD_CHEMBLID,exp,smiles,MolecularWeight,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,340.85800000000006,3.5489000000000024,24.3,0.0,4.0,3.0,3.0
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,494.59100000000024,2.9901000000000018,122.24,2.0,7.0,9.0,2.0
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,321.82900000000006,3.6739000000000024,29.54,0.0,4.0,3.0,2.0
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,419.89000000000016,1.9236999999999997,105.66,4.0,5.0,5.0,3.0
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,381.48000000000013,2.0069,99.81,2.0,5.0,6.0,2.0
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,303.40500000000003,3.161800000000002,23.47,1.0,2.0,1.0,2.0
CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,505.5930000000003,2.975900000000001,134.27,3.0,7.0,11.0,2.0
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,502.3980000000002,4.785720000000003,100.55000000000001,3.0,5.0,10.0,3.0
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,312.3210000000001,3.485800000000003,57.9,0.0,5.0,4.0,3.0
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,234.305,3.125400000000001,46.010000000000005,1.0,5.0,1.0,3.0
CHEMBL1940306,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,397.49600000000027,2.6906000000000008,66.84,1.0,5.0,3.0,2.0
CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,352.37700000000007,3.1390200000000013,115.2,3.0,7.0,5.0,3.0
CHEMBL276218,-0.08,O=C1CCCCCN1,113.16000000000001,0.6766000000000001,29.1,1.0,1.0,0.0,0.0
CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,327.453,3.956000000000003,46.09,0.0,4.0,5.0,2.0
CHEMBL1916276,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,452.5800000000002,4.290020000000003,93.09,2.0,5.0,6.0,3.0
CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,242.30300000000003,3.2511,59.14,2.0,4.0,1.0,3.0
CHEMBL2171986,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,384.48000000000013,1.78998,85.67,1.0,5.0,5.0,1.0
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,387.47600000000006,3.7363000000000026,57.23000000000001,0.0,6.0,9.0,2.0
CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,454.9390000000002,3.742200000000003,80.48,1.0,8.0,4.0,4.0
CHEMBL2165055,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,488.54800000000034,1.4781799999999998,121.51,2.0,9.0,7.0,3.0
